Display Name,Volume_OCID,Size (in GB),Lifecycle State,Instance Name
lvm,ocid1.volume.oc1.iad.abuwcljtktlx7z3rlr3lfm2ipxm3egps4gfab7pgmisdi2mglunbxgyyi53a,50,AVAILABLE,
lvm2,ocid1.volume.oc1.iad.abuwcljtnorfmnvoqnobkwpt4gzm4bq4clospegs7s4aopxskipj7zvrhubq,50,AVAILABLE,
DREK-QA-1.27,ocid1.volume.oc1.iad.abuwcljtnuaqkliwnou2nerxdhtlfbl7a5iapvlkevzygvfqtazpn7kaka6q,150,AVAILABLE,
training-VM,ocid1.volume.oc1.iad.abuwcljtlybs2osf6l4eu2yhcydvbmzkuqdd5tgmk4zjxc66ykc6k7wxkoea,700,AVAILABLE,
DRRCCL-APP-1.133,ocid1.volume.oc1.iad.abuwcljtnkcskoi7uc2ilhjktmnl4igvrczu4wvi5kxfg3yoww37scub46kq,100,AVAILABLE,
DRTA-V4APP-2.153,ocid1.volume.oc1.iad.abuwcljtuzj67kws5hnb4pf4jeisyru4v65pfuorxqz7rftqsy4d7cnyea6a,147,AVAILABLE,
DRFZ-DB-3.11-clone,ocid1.volume.oc1.iad.abuwcljtoqzhkdhqwqqg6x5lkv6h6qa5f3sfzjqdhuhiyim62yns5w7lh22q,200,AVAILABLE,
DRYAS-EC-1.41,ocid1.volume.oc1.iad.abuwcljtvz3umaew4gsja6yum5puuy2vngx7pb6oqsqletgjspqamarpm47a,80,AVAILABLE,
DRYAS-EC-1.28,ocid1.volume.oc1.iad.abuwcljtxx67vb6kldjcf7jfbvp5rrqfiqeat4s6bah4r5ke64bol3vgvfwa,100,AVAILABLE,
DRRCCL-APP-1.169,ocid1.volume.oc1.iad.abuwcljtrceo725jgy6evfwiagbaycatiz6imnlwijyzb45kl6cwemu4k4ea,200,AVAILABLE,
DRRCCL-QA-2.185,ocid1.volume.oc1.iad.abuwcljt3pa6apugflcioooavmwsvuwnsmazfoyvg24w4dcpxjs5bmkype4a,100,AVAILABLE,
DR-RUNDECK-4.84,ocid1.volume.oc1.iad.abuwcljt6npy2d5gpdtrmxfbed5ybpubkcwjtjjan3dxcupx7cwcnermn4sq,200,AVAILABLE,
