Compartment Name,Compartment OCID
23C,ocid1.compartment.oc1..aaaaaaaamjweb3s5gbo4kjad4kuqyicomn5zvnkvn6vtnwssxergjtddyeaa
23C_Testing,ocid1.compartment.oc1..aaaaaaaavdyswd5fdwbwrwooxo366igoj2vm4nnalu42xuawibsrvpf5f33q
BAH_MO,ocid1.compartment.oc1..aaaaaaaa42gv62m5z7ng2dswriqpbds435d7ikxp5xj2i73upnqb4s6zd7fa
BUFF,ocid1.compartment.oc1..aaaaaaaaadhyx43cbhw74hmqahj5nduoflukkcux3eksc5gpb3cdojkq5rvq
CG_DR,ocid1.compartment.oc1..aaaaaaaak43yymo6paopwm2chr34pzn6csll67ohhclrgeb6bwe5s5vojoba
CG_INTERNAL,ocid1.compartment.oc1..aaaaaaaapy3gquvlnuu2dkqvjaeasj734j3hi5utbcmne4n3etpngfh7vp5q
CGEN-INFRA,ocid1.compartment.oc1..aaaaaaaaqe7obnhap6uf5jbzwwzzndnvwhxrjeenp3rfbsmublhjtbulu3sa
cgen_infra_management,ocid1.compartment.oc1..aaaaaaaayniqbaw6gjcl3atea5rw33myimh5tfuqca7ddt5viascm7ngva6a
CODEGEN-UAE,ocid1.compartment.oc1..aaaaaaaa2xekzmsqf6pwb6daeomhsz6xw7ofqrm3krhnnbkt7ew4wxj6f4vq
CODOX,ocid1.compartment.oc1..aaaaaaaawp3k4omh7yfaby6t7ac6hq6ibx3prcww3dzi2gxmexpf5b43gpfq
Costco-Infra,ocid1.compartment.oc1..aaaaaaaaqt4nnuc3khi4jsh5to6wi3zvxfqsaf3f55sy6h5kere4fwb27fjq
DA,ocid1.compartment.oc1..aaaaaaaadbttm6k6fqmgtmyny5guhdjqoiy5d34nzmkermikixtamcuj65nq
DEMO,ocid1.compartment.oc1..aaaaaaaarie4vgculns3ogog5v5oir7w7b6ifvl4qi24f5rtwidhpm2earta
DEMO_production,ocid1.compartment.oc1..aaaaaaaakhp355n76cvt4atsv7yh3577xwwfp3c5cznabjq6z7o6qdfp3mdq
DEMO_QA,ocid1.compartment.oc1..aaaaaaaa3bzf5pmgpyvikfd76xcidqttzopz3rpwmuqqkbkao2stlhhagwma
DEMO_replica,ocid1.compartment.oc1..aaaaaaaakskuiz6kta67bg24gyvjj6axww6a4hxbbngpj5vuvov5jdaj2jua
DEMO_stage,ocid1.compartment.oc1..aaaaaaaaxkkrztlr3vhz6esn55xmfu27r6yuq5ql53a4hwvetgujmmbcxtlq
DR_TEST,ocid1.compartment.oc1..aaaaaaaaljr27waqyoc2alcjbstbi3awicytnrthjseuytt7gdraf2wvocta
FC,ocid1.compartment.oc1..aaaaaaaae7fj52rxs5zwiirmlyy2y3i3sqwbthe6kwmkazvfabedihksky7q
FDM,ocid1.compartment.oc1..aaaaaaaanelun4mbxjugwmsohgmdsgmjufdypnmmjx3mriw6u4fwiiu447ga
FLAIR,ocid1.compartment.oc1..aaaaaaaal3wjgwhch4gkuwzrv4pxofoxtgyesk3ho7eeicgtgq4iskx33kta
ITD_RESEARCH,ocid1.compartment.oc1..aaaaaaaatcjpjen2pparf36wazie4xx4ll2bpytz75qxgegj6kbqqnc7jrda
KRIYO,ocid1.compartment.oc1..aaaaaaaaqebxly4yqahee72qluopghprzfeqy6mazf5fcl6ghruerlcodjua
landing_zone_test,ocid1.compartment.oc1..aaaaaaaaa5cbbcye2yokfytxrmuadootwgyhg3onnieigh2pbeyxjgjnf75a
LIA,ocid1.compartment.oc1..aaaaaaaageigeusuc3hkhwcv5p6hvbsrjipc6ytzkqzyz7ihzyogmyx7ocbq
ManagedCompartmentForPaaS,ocid1.compartment.oc1..aaaaaaaabbcz5fxlsy5kcm4pp3twc2vw4n2fecst5m37iglhlqfqkpp4ecpq
Management-Agents,ocid1.compartment.oc1..aaaaaaaa2jhxe6s4udagrm7gbfjxuujqqa7nzp2msjid7o7l53xwrgbxrf2q
MEDICARE,ocid1.compartment.oc1..aaaaaaaaxqujtx334vvg3qlupbsfe7hoqeoz4qxyepfsrwjnrzb7edhtkvqq
ms_devops_test,ocid1.compartment.oc1..aaaaaaaa6cbd2z7u2v7kkcncrzjhriru33gc72p7jphsthtcptln4kwjz6ka
Ms_Training,ocid1.compartment.oc1..aaaaaaaanzylba43muxje6zke5blolmmfi45bs3xxepjlztxacbmn67awasq
msdev-appdev-cmp,ocid1.compartment.oc1..aaaaaaaalobmttkp24pioggwlhrfs5godgdixtns4rsxuood27zzvile4sva
